,value,max_episodes,gamma,alpha,initialization,decay_rate,decay_interval
0,100.0,584,0.4,0.4,82,1.0,21
1,100.0,275,0.1,0.30000000000000004,66,1.5,41
2,100.0,329,0.6,0.8,93,1.5,41
3,100.0,652,0.30000000000000004,0.30000000000000004,36,0.25,11
4,100.0,699,0.30000000000000004,0.7000000000000001,69,1.0,51
5,100.0,842,0.30000000000000004,0.8,29,3.0,71
6,100.0,613,0.8,0.2,22,3.0,61
7,100.0,390,0.30000000000000004,0.6,66,1.5,21
8,100.0,658,0.2,0.30000000000000004,59,1.5,31
9,100.0,662,0.2,0.30000000000000004,90,0.5,31
10,100.0,977,0.6,0.5,3,2.25,91
11,-100.0,112,0.1,0.1,79,1.0,1
12,100.0,416,0.5,0.5,47,2.25,21
13,-100.0,185,0.5,0.4,80,1.0,41
14,100.0,489,0.1,0.1,51,2.0,1
15,100.0,215,0.9,0.4,97,0.75,71
16,100.0,524,0.4,0.6,79,1.75,21
17,100.0,279,0.7000000000000001,0.4,66,1.25,61
18,100.0,840,0.4,0.2,50,0.25,31
19,100.0,446,0.1,0.5,85,2.5,51
20,100.0,563,0.2,0.9,73,0.75,11
21,100.0,322,0.6,0.9,95,1.75,41
22,100.0,342,0.7000000000000001,0.7000000000000001,98,1.25,41
23,100.0,254,0.6,0.6,87,1.25,31
24,-100.0,150,0.4,0.2,59,2.0,51
25,100.0,755,0.7000000000000001,0.4,74,1.5,11
26,100.0,364,0.5,0.8,89,0.75,41
27,100.0,488,0.9,0.30000000000000004,60,1.75,61
28,100.0,272,0.8,0.7000000000000001,82,1.25,21
29,100.0,589,0.4,0.5,45,0.25,11
30,100.0,424,0.6,0.2,93,2.0,91
31,100.0,702,0.30000000000000004,0.30000000000000004,39,0.5,11
32,100.0,738,0.2,0.30000000000000004,30,1.0,1
33,100.0,815,0.30000000000000004,0.4,15,0.5,31
34,100.0,629,0.30000000000000004,0.8,32,1.5,51
35,100.0,531,0.4,0.2,72,0.75,21
36,100.0,769,0.2,0.6,23,2.75,71
37,100.0,657,0.5,0.30000000000000004,65,1.0,41
38,100.0,918,0.1,0.4,38,1.5,21
39,100.0,482,0.2,0.1,11,0.5,31
40,100.0,609,0.5,0.5,57,1.25,61
41,100.0,698,0.30000000000000004,0.7000000000000001,69,1.0,51
42,100.0,699,0.30000000000000004,0.8,79,1.5,81
43,100.0,568,0.4,0.9,63,1.75,51
44,100.0,643,0.30000000000000004,0.7000000000000001,54,0.25,1
45,-100.0,115,0.2,0.30000000000000004,75,1.0,61
46,100.0,319,0.1,0.4,83,2.25,11
47,100.0,191,0.6,0.8,89,0.75,31
48,100.0,394,0.5,0.5,69,2.0,41
49,100.0,816,0.4,0.30000000000000004,100,0.5,21
50,-100.0,229,0.1,0.2,93,1.25,31
51,100.0,898,0.30000000000000004,0.8,26,3.0,71
52,100.0,973,0.2,0.9,42,1.5,81
53,100.0,891,0.30000000000000004,0.7000000000000001,29,3.0,71
54,100.0,781,0.4,0.8,16,2.5,41
55,100.0,725,0.5,0.6,34,1.75,51
56,100.0,599,0.2,0.4,76,0.75,81
57,100.0,518,0.4,0.9,46,2.25,31
