,value,max_episodes,gamma,alpha,initialization,decay_rate,decay_interval
0,100.0,559,0.30000000000000004,0.9,23,2.5,61
1,100.0,669,0.5,0.8,15,3.0,71
2,100.0,762,0.4,0.2,75,1.75,71
3,100.0,332,0.2,0.6,49,1.5,61
4,100.0,354,0.5,0.9,52,2.5,61
5,100.0,980,0.1,0.2,2,2.0,71
6,100.0,100,0.7000000000000001,0.7000000000000001,32,2.25,61
7,100.0,310,0.30000000000000004,0.8,100,1.0,11
8,100.0,810,0.1,0.7000000000000001,14,2.0,81
9,100.0,989,0.30000000000000004,0.4,72,1.0,71
10,100.0,537,0.9,0.4,34,0.25,31
11,100.0,579,0.6,0.9,22,3.0,91
12,100.0,592,0.5,0.9,11,3.0,41
13,100.0,730,0.7000000000000001,0.7000000000000001,31,2.75,41
14,0.0,454,0.4,0.5,0,2.5,21
15,100.0,681,0.30000000000000004,0.8,47,3.0,91
16,100.0,849,0.6,0.8,24,2.5,51
17,100.0,432,0.9,0.6,14,1.5,1
18,100.0,630,0.4,0.1,43,2.75,51
19,100.0,167,0.2,0.9,65,2.25,81
20,100.0,523,0.7000000000000001,0.6,10,1.0,31
21,100.0,760,0.4,0.30000000000000004,83,1.75,71
22,100.0,863,0.4,0.1,93,1.75,81
23,100.0,664,0.6,0.30000000000000004,59,2.75,61
24,100.0,899,0.2,0.5,78,2.25,71
25,100.0,725,0.5,0.2,40,1.25,51
26,100.0,470,0.30000000000000004,0.8,24,0.5,81
27,100.0,790,0.5,0.4,61,2.0,91
28,100.0,670,0.4,0.7000000000000001,84,2.75,61
29,100.0,906,0.2,0.6,53,1.25,71
30,100.0,306,0.8,0.2,19,2.5,51
31,100.0,393,0.2,0.9,53,1.5,61
32,100.0,239,0.30000000000000004,0.5,6,1.25,61
33,100.0,488,0.1,0.8,37,2.0,71
34,100.0,591,0.2,0.7000000000000001,29,0.75,61
35,100.0,365,0.1,0.8,70,1.75,81
36,100.0,272,0.5,0.6,18,2.25,71
37,100.0,622,0.30000000000000004,0.9,99,1.5,41
38,100.0,553,0.4,0.7000000000000001,47,3.0,51
39,-100.0,112,0.30000000000000004,0.4,7,2.25,71
40,100.0,712,0.1,0.30000000000000004,27,2.5,81
41,100.0,372,0.5,0.9,34,2.0,61
42,100.0,219,0.6,0.9,73,2.75,61
43,100.0,421,0.4,0.8,56,3.0,71
44,100.0,334,0.5,0.9,68,2.5,41
45,100.0,505,0.6,0.8,43,1.75,61
46,100.0,547,0.30000000000000004,0.7000000000000001,15,2.75,51
47,100.0,804,0.7000000000000001,0.8,87,2.0,31
48,0.0,644,0.4,0.9,76,1.0,91
49,100.0,762,0.2,0.7000000000000001,63,2.5,71
50,100.0,613,0.6,0.6,47,3.0,41
51,100.0,959,0.1,0.2,1,1.5,81
52,100.0,697,0.2,0.1,2,2.25,71
53,100.0,567,0.1,0.2,8,1.75,61
54,100.0,939,0.5,0.30000000000000004,12,2.0,81
55,100.0,998,0.30000000000000004,0.5,20,1.5,71
56,100.0,857,0.4,0.1,4,1.25,51
57,100.0,434,0.2,0.30000000000000004,15,2.25,11
58,100.0,831,0.5,0.4,24,1.75,61
59,100.0,756,0.30000000000000004,0.9,38,2.75,51
60,100.0,318,0.4,0.2,33,2.0,81
61,100.0,118,0.5,0.7000000000000001,28,2.5,61
62,100.0,164,0.9,0.6,42,2.25,71
63,100.0,179,0.8,0.8,11,2.5,61
64,100.0,252,0.7000000000000001,0.8,17,2.25,71
65,100.0,657,0.8,0.7000000000000001,21,1.75,61
66,100.0,513,0.6,0.6,52,2.0,71
67,100.0,891,0.1,0.8,24,2.5,51
68,100.0,463,0.4,0.9,66,2.0,71
69,-100.0,191,0.2,0.5,59,0.25,81
70,100.0,145,0.5,0.9,30,2.75,61
71,100.0,283,0.30000000000000004,0.8,99,0.75,1
72,100.0,357,0.2,0.7000000000000001,92,0.75,11
73,100.0,402,0.30000000000000004,0.9,81,1.25,21
74,100.0,584,0.6,0.8,89,0.5,51
75,100.0,206,0.4,0.7000000000000001,37,2.25,71
76,100.0,293,0.4,0.8,74,1.5,61
77,100.0,235,0.30000000000000004,0.2,95,3.0,61
