,number,value,datetime_start,datetime_complete,duration,params_alpha,params_decay_interval,params_decay_rate,params_gamma,params_initialization,params_max_steps,state
0,0,11686.75,2023-11-15 10:41:07.243243,2023-11-15 10:41:07.359520,0 days 00:00:00.116277,0.8,30,0.5,0.7000000000000001,70,57,COMPLETE
1,1,14793.5,2023-11-15 10:41:07.361043,2023-11-15 10:41:07.456042,0 days 00:00:00.094999,0.7000000000000001,40,0.25,0.1,26,131,COMPLETE
2,2,0.0,2023-11-15 10:41:07.456938,2023-11-15 10:41:07.514006,0 days 00:00:00.057068,0.9,70,0.5,0.6,82,18,COMPLETE
3,3,8003.0,2023-11-15 10:41:07.514953,2023-11-15 10:41:07.590885,0 days 00:00:00.075932,0.9,90,0.5,0.7000000000000001,6,46,COMPLETE
4,4,3952.5,2023-11-15 10:41:07.591769,2023-11-15 10:41:07.728227,0 days 00:00:00.136458,0.1,60,0.25,0.2,79,74,COMPLETE
5,5,5177.75,2023-11-15 10:41:07.729081,2023-11-15 10:41:07.782615,0 days 00:00:00.053534,0.1,100,0.5,0.8,79,28,COMPLETE
6,6,13768.5,2023-11-15 10:41:07.783452,2023-11-15 10:41:07.873774,0 days 00:00:00.090322,0.4,70,0.25,0.8,25,131,COMPLETE
7,7,1405.25,2023-11-15 10:41:07.875471,2023-11-15 10:41:08.130089,0 days 00:00:00.254618,0.7000000000000001,40,1.5,0.5,34,137,COMPLETE
8,8,12626.5,2023-11-15 10:41:08.131026,2023-11-15 10:41:08.232431,0 days 00:00:00.101405,0.1,80,1.75,0.8,59,147,COMPLETE
9,9,1821.5,2023-11-15 10:41:08.233276,2023-11-15 10:41:08.284923,0 days 00:00:00.051647,0.2,70,1.25,0.30000000000000004,87,21,COMPLETE
10,10,19260.75,2023-11-15 10:41:08.285774,2023-11-15 10:41:08.468050,0 days 00:00:00.182276,0.6,10,1.0,0.1,0,110,COMPLETE
