,number,value,datetime_start,datetime_complete,duration,params_alpha,params_decay_interval,params_decay_rate,params_gamma,params_initialization,params_max_steps,state
0,0,7476.5,2023-11-15 13:17:16.359940,2023-11-15 13:17:16.422897,0 days 00:00:00.062957,0.4,40,3.0,0.6,32,20,COMPLETE
1,1,14978.0,2023-11-15 13:17:16.424093,2023-11-15 13:17:16.511042,0 days 00:00:00.086949,0.7000000000000001,50,1.0,0.5,92,96,COMPLETE
2,2,15326.25,2023-11-15 13:17:16.511877,2023-11-15 13:17:16.572611,0 days 00:00:00.060734,0.8,30,1.25,0.4,21,43,COMPLETE
3,3,10509.25,2023-11-15 13:17:16.574448,2023-11-15 13:17:16.794233,0 days 00:00:00.219785,0.1,50,1.75,0.8,93,98,COMPLETE
4,4,0.0,2023-11-15 13:17:16.795101,2023-11-15 13:17:16.875317,0 days 00:00:00.080216,0.8,30,2.5,0.7000000000000001,0,17,COMPLETE
5,5,10202.5,2023-11-15 13:17:16.876934,2023-11-15 13:17:16.963994,0 days 00:00:00.087060,0.5,80,1.25,0.1,38,52,COMPLETE
6,6,6044.5,2023-11-15 13:17:16.964987,2023-11-15 13:17:17.264714,0 days 00:00:00.299727,0.1,20,1.0,0.1,59,95,COMPLETE
7,7,14769.25,2023-11-15 13:17:17.265649,2023-11-15 13:17:17.359591,0 days 00:00:00.093942,0.30000000000000004,50,0.5,0.9,79,96,COMPLETE
8,8,8189.75,2023-11-15 13:17:17.360557,2023-11-15 13:17:17.437686,0 days 00:00:00.077129,0.30000000000000004,90,0.75,0.7000000000000001,34,34,COMPLETE
9,9,10999.0,2023-11-15 13:17:17.438824,2023-11-15 13:17:17.502382,0 days 00:00:00.063558,0.8,40,3.0,0.30000000000000004,78,27,COMPLETE
10,10,17560.25,2023-11-15 13:17:17.503497,2023-11-15 13:17:17.607007,0 days 00:00:00.103510,0.9,10,1.75,0.4,1,67,COMPLETE
11,11,17005.75,2023-11-15 13:17:17.608161,2023-11-15 13:17:17.695527,0 days 00:00:00.087366,0.9,10,1.75,0.4,1,69,COMPLETE
12,12,297.25,2023-11-15 13:17:17.697189,2023-11-15 13:17:17.999585,0 days 00:00:00.302396,0.9,10,2.0,0.30000000000000004,0,72,COMPLETE
13,13,16506.75,2023-11-15 13:17:18.001007,2023-11-15 13:17:18.104826,0 days 00:00:00.103819,0.6,10,2.25,0.30000000000000004,15,71,COMPLETE
14,14,17744.0,2023-11-15 13:17:18.105881,2023-11-15 13:17:18.203007,0 days 00:00:00.097126,0.9,10,1.75,0.4,14,70,COMPLETE
15,15,14124.25,2023-11-15 13:17:18.204424,2023-11-15 13:17:18.296844,0 days 00:00:00.092420,0.6,70,2.5,0.5,16,79,COMPLETE
16,16,15765.25,2023-11-15 13:17:18.298493,2023-11-15 13:17:18.398303,0 days 00:00:00.099810,0.9,20,1.5,0.2,52,60,COMPLETE
17,17,12351.0,2023-11-15 13:17:18.399337,2023-11-15 13:17:18.516007,0 days 00:00:00.116670,0.7000000000000001,100,2.0,0.4,14,81,COMPLETE
18,18,13296.0,2023-11-15 13:17:18.517078,2023-11-15 13:17:18.615005,0 days 00:00:00.097927,0.7000000000000001,70,1.5,0.6,25,58,COMPLETE
19,19,13542.0,2023-11-15 13:17:18.615921,2023-11-15 13:17:18.725909,0 days 00:00:00.109988,0.9,20,0.25,0.2,45,45,COMPLETE
20,20,17097.0,2023-11-15 13:17:18.727312,2023-11-15 13:17:18.823530,0 days 00:00:00.096218,0.6,30,2.5,0.5,9,85,COMPLETE
21,21,16389.0,2023-11-15 13:17:18.825338,2023-11-15 13:17:18.933637,0 days 00:00:00.108299,0.6,30,2.5,0.5,8,84,COMPLETE
22,22,17014.25,2023-11-15 13:17:18.934678,2023-11-15 13:17:19.029054,0 days 00:00:00.094376,0.8,10,2.0,0.6,9,65,COMPLETE
23,23,16249.5,2023-11-15 13:17:19.030276,2023-11-15 13:17:19.128781,0 days 00:00:00.098505,0.5,20,2.75,0.4,28,86,COMPLETE
24,24,16740.75,2023-11-15 13:17:19.129662,2023-11-15 13:17:19.214881,0 days 00:00:00.085219,0.7000000000000001,30,2.25,0.5,8,75,COMPLETE
25,25,15509.0,2023-11-15 13:17:19.215751,2023-11-15 13:17:19.305433,0 days 00:00:00.089682,0.8,40,2.25,0.30000000000000004,19,88,COMPLETE
26,26,10524.5,2023-11-15 13:17:19.306426,2023-11-15 13:17:19.470665,0 days 00:00:00.164239,0.2,10,1.75,0.2,8,65,COMPLETE
27,27,13825.5,2023-11-15 13:17:19.471564,2023-11-15 13:17:19.569511,0 days 00:00:00.097947,0.5,20,2.75,0.4,61,54,COMPLETE
28,28,15167.75,2023-11-15 13:17:19.570611,2023-11-15 13:17:19.662609,0 days 00:00:00.091998,0.9,60,1.25,0.6,42,90,COMPLETE
29,29,15664.25,2023-11-15 13:17:19.663674,2023-11-15 13:17:19.752799,0 days 00:00:00.089125,0.4,40,3.0,0.7000000000000001,32,79,COMPLETE
30,30,3312.75,2023-11-15 13:17:19.754091,2023-11-15 13:17:19.828934,0 days 00:00:00.074843,0.6,30,1.5,0.5,28,11,COMPLETE
31,31,16644.75,2023-11-15 13:17:19.829769,2023-11-15 13:17:19.919309,0 days 00:00:00.089540,0.8,10,2.0,0.6,8,64,COMPLETE
32,32,17014.25,2023-11-15 13:17:19.920418,2023-11-15 13:17:20.004509,0 days 00:00:00.084091,0.8,10,2.0,0.6,12,65,COMPLETE
33,33,16095.75,2023-11-15 13:17:20.005999,2023-11-15 13:17:20.090386,0 days 00:00:00.084387,0.9,20,2.25,0.5,22,45,COMPLETE
34,34,17752.25,2023-11-15 13:17:20.093180,2023-11-15 13:17:20.181993,0 days 00:00:00.088813,0.7000000000000001,10,1.75,0.4,5,75,COMPLETE
35,35,16719.0,2023-11-15 13:17:20.183026,2023-11-15 13:17:20.276482,0 days 00:00:00.093456,0.7000000000000001,30,1.0,0.4,2,76,COMPLETE
36,36,16949.0,2023-11-15 13:17:20.277389,2023-11-15 13:17:20.401924,0 days 00:00:00.124535,0.7000000000000001,20,1.75,0.4,21,92,COMPLETE
37,37,13655.0,2023-11-15 13:17:20.403452,2023-11-15 13:17:20.530673,0 days 00:00:00.127221,0.4,40,1.25,0.30000000000000004,4,51,COMPLETE
38,38,16672.5,2023-11-15 13:17:20.531643,2023-11-15 13:17:20.675842,0 days 00:00:00.144199,0.5,20,1.5,0.5,16,83,COMPLETE
39,39,17040.5,2023-11-15 13:17:20.700993,2023-11-15 13:17:20.948176,0 days 00:00:00.247183,0.6,10,0.75,0.4,5,71,COMPLETE
40,40,13625.0,2023-11-15 13:17:20.949159,2023-11-15 13:17:21.289763,0 days 00:00:00.340604,0.8,50,2.75,0.30000000000000004,100,59,COMPLETE
41,41,16217.0,2023-11-15 13:17:21.290833,2023-11-15 13:17:21.482212,0 days 00:00:00.191379,0.6,10,0.25,0.4,6,70,COMPLETE
42,42,199.5,2023-11-15 13:17:21.484279,2023-11-15 13:17:22.019830,0 days 00:00:00.535551,0.6,10,0.75,0.5,0,75,COMPLETE
43,43,16388.0,2023-11-15 13:17:22.025169,2023-11-15 13:17:22.179987,0 days 00:00:00.154818,0.7000000000000001,30,1.25,0.4,12,75,COMPLETE
44,44,16375.0,2023-11-15 13:17:22.181578,2023-11-15 13:17:22.340698,0 days 00:00:00.159120,0.5,20,0.75,0.30000000000000004,19,99,COMPLETE
45,45,17929.5,2023-11-15 13:17:22.360653,2023-11-15 13:17:22.462834,0 days 00:00:00.102181,0.9,10,1.75,0.9,5,70,COMPLETE
46,46,18298.5,2023-11-15 13:17:22.464057,2023-11-15 13:17:22.615276,0 days 00:00:00.151219,0.9,10,1.75,0.9,66,94,COMPLETE
47,47,16923.5,2023-11-15 13:17:22.619683,2023-11-15 13:17:22.735484,0 days 00:00:00.115801,0.9,10,1.75,0.9,67,50,COMPLETE
48,48,14717.5,2023-11-15 13:17:22.736360,2023-11-15 13:17:22.815850,0 days 00:00:00.079490,0.9,20,1.75,0.8,75,35,COMPLETE
49,49,17477.5,2023-11-15 13:17:22.816843,2023-11-15 13:17:22.907216,0 days 00:00:00.090373,0.8,10,1.5,0.8,89,95,COMPLETE
50,50,12415.75,2023-11-15 13:17:22.908262,2023-11-15 13:17:23.004537,0 days 00:00:00.096275,0.9,90,2.0,0.8,56,68,COMPLETE
51,51,17848.0,2023-11-15 13:17:23.005740,2023-11-15 13:17:23.102041,0 days 00:00:00.096301,0.8,10,1.5,0.9,86,93,COMPLETE
52,52,17837.0,2023-11-15 13:17:23.102934,2023-11-15 13:17:23.189024,0 days 00:00:00.086090,0.9,10,1.75,0.8,72,95,COMPLETE
53,53,17477.5,2023-11-15 13:17:23.190117,2023-11-15 13:17:23.278665,0 days 00:00:00.088548,0.8,20,1.75,0.9,86,100,COMPLETE
54,54,17832.0,2023-11-15 13:17:23.279736,2023-11-15 13:17:23.367689,0 days 00:00:00.087953,0.9,10,1.5,0.9,73,95,COMPLETE
55,55,18213.0,2023-11-15 13:17:23.368579,2023-11-15 13:17:23.452772,0 days 00:00:00.084193,0.9,10,1.5,0.9,71,94,COMPLETE
56,56,17562.75,2023-11-15 13:17:23.453622,2023-11-15 13:17:23.536625,0 days 00:00:00.083003,0.9,20,1.0,0.9,68,93,COMPLETE
57,57,18210.5,2023-11-15 13:17:23.537483,2023-11-15 13:17:23.621820,0 days 00:00:00.084337,0.8,10,1.5,0.9,74,96,COMPLETE
58,58,17105.5,2023-11-15 13:17:23.622811,2023-11-15 13:17:23.711419,0 days 00:00:00.088608,0.8,20,1.25,0.9,83,88,COMPLETE
59,59,17764.25,2023-11-15 13:17:23.712275,2023-11-15 13:17:23.798571,0 days 00:00:00.086296,0.8,10,1.5,0.8,68,97,COMPLETE
