,number,value,datetime_start,datetime_complete,duration,params_alpha,params_decay_interval,params_decay_rate,params_gamma,params_initialization,params_max_steps,state
0,0,16266.0,2023-11-15 11:59:56.740304,2023-11-15 11:59:56.811204,0 days 00:00:00.070900,0.4,20,1.5,0.30000000000000004,41,112,COMPLETE
1,1,14959.5,2023-11-15 11:59:56.812134,2023-11-15 11:59:56.883816,0 days 00:00:00.071682,0.7000000000000001,70,2.25,0.8,90,148,COMPLETE
2,2,13705.0,2023-11-15 11:59:56.884620,2023-11-15 11:59:56.961827,0 days 00:00:00.077207,0.5,70,0.75,0.1,81,101,COMPLETE
3,3,11204.75,2023-11-15 11:59:56.962705,2023-11-15 11:59:57.056920,0 days 00:00:00.094215,0.6,100,1.0,0.9,89,94,COMPLETE
4,4,16548.5,2023-11-15 11:59:57.057735,2023-11-15 11:59:57.116809,0 days 00:00:00.059074,0.7000000000000001,40,2.5,0.5,66,110,COMPLETE
5,5,7977.25,2023-11-15 11:59:57.117999,2023-11-15 11:59:57.172459,0 days 00:00:00.054460,0.7000000000000001,60,0.25,0.4,30,28,COMPLETE
6,6,0.0,2023-11-15 11:59:57.173255,2023-11-15 11:59:57.209322,0 days 00:00:00.036067,0.2,60,1.0,0.9,29,9,COMPLETE
7,7,11940.0,2023-11-15 11:59:57.211107,2023-11-15 11:59:57.315654,0 days 00:00:00.104547,0.2,20,2.0,0.4,83,85,COMPLETE
8,8,10773.25,2023-11-15 11:59:57.316554,2023-11-15 11:59:57.394808,0 days 00:00:00.078254,0.5,100,2.5,0.5,16,72,COMPLETE
9,9,10304.0,2023-11-15 11:59:57.396026,2023-11-15 11:59:57.472329,0 days 00:00:00.076303,0.1,100,2.75,0.9,20,77,COMPLETE
10,10,16184.25,2023-11-15 11:59:57.473301,2023-11-15 11:59:57.562847,0 days 00:00:00.089546,0.9,40,3.0,0.7000000000000001,67,144,COMPLETE
11,11,16131.5,2023-11-15 11:59:57.563691,2023-11-15 11:59:57.684441,0 days 00:00:00.120750,0.4,10,1.75,0.2,50,120,COMPLETE
12,12,16779.0,2023-11-15 11:59:57.685521,2023-11-15 11:59:57.770830,0 days 00:00:00.085309,0.9,30,1.5,0.30000000000000004,52,117,COMPLETE
13,13,16462.0,2023-11-15 11:59:57.771698,2023-11-15 11:59:57.859607,0 days 00:00:00.087909,0.9,40,1.5,0.5,63,124,COMPLETE
14,14,13953.0,2023-11-15 11:59:57.860568,2023-11-15 11:59:57.948681,0 days 00:00:00.088113,0.8,40,2.25,0.6,63,54,COMPLETE
15,15,670.25,2023-11-15 11:59:57.950094,2023-11-15 11:59:58.322723,0 days 00:00:00.372629,0.8,30,1.75,0.30000000000000004,0,126,COMPLETE
16,16,12779.5,2023-11-15 11:59:58.323621,2023-11-15 11:59:58.413406,0 days 00:00:00.089785,0.7000000000000001,50,3.0,0.1,72,53,COMPLETE
17,17,17787.5,2023-11-15 11:59:58.414440,2023-11-15 11:59:58.506027,0 days 00:00:00.091587,0.9,10,1.25,0.6,47,106,COMPLETE
18,18,17825.5,2023-11-15 11:59:58.506970,2023-11-15 11:59:58.587495,0 days 00:00:00.080525,0.9,10,1.25,0.7000000000000001,48,134,COMPLETE
